pred1,pred2,p_val,code,type,q_val,gene
LRT (0.012),MutationTaster (0.019),0.658,30740,PCC,0.573954333431517,gigyf1
M-CAP (0.051),MutationTaster (0.019),0.275,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),MutationTaster (0.019),0.545,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),MutationTaster (0.019),0.409,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),MutationTaster (0.019),0.496,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),MutationTaster (0.019),0.466,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),MutationTaster (0.019),0.153,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),MutationTaster (0.019),1,30740,PCC,0.68255207585131,gigyf1
PROVEAN (0.055),MutationTaster (0.019),0.238,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),MutationTaster (0.019),0.407,30740,PCC,0.572808408753648,gigyf1
PrimateAI (0.071),MutationTaster (0.019),0.143,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),MutationTaster (0.019),0.442,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),MutationTaster (0.019),0.523,30740,PCC,0.572808408753648,gigyf1
SiPhy (-0.004),MutationTaster (0.019),0.543,30740,PCC,0.572808408753648,gigyf1
VARITY (0.058),MutationTaster (0.019),0.231,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),PROVEAN (0.055),0.74,30740,PCC,0.597433816980441,gigyf1
DANN (0.023),PROVEAN (0.055),0.85,30740,PCC,0.639705741162833,gigyf1
Eigen (0.016),PROVEAN (0.055),0.789,30740,PCC,0.612550052527033,gigyf1
FATHMM (-0.019),PROVEAN (0.055),0.64,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),PROVEAN (0.055),0.867,30740,PCC,0.643814306179241,gigyf1
LRT (0.012),PROVEAN (0.055),0.868,30740,PCC,0.643973045477105,gigyf1
M-CAP (0.051),PROVEAN (0.055),0.491,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),PROVEAN (0.055),0.796,30740,PCC,0.615650370966167,gigyf1
MVP (0.030),PROVEAN (0.055),0.748,30740,PCC,0.598299553988414,gigyf1
MetaLR (0.007),PROVEAN (0.055),0.777,30740,PCC,0.605529548547822,gigyf1
MetaSVM (0.017),PROVEAN (0.055),0.775,30740,PCC,0.604546124325446,gigyf1
MutPred (0.077),PROVEAN (0.055),0.234,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),PROVEAN (0.055),0.762,30740,PCC,0.601277088784622,gigyf1
PROVEAN (0.055),PROVEAN (0.055),1,30740,PCC,0.68255207585131,gigyf1
PolyPhen-2 (0.031),PROVEAN (0.055),0.755,30740,PCC,0.600964218388034,gigyf1
PrimateAI (0.071),PROVEAN (0.055),0.3,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),PROVEAN (0.055),0.759,30740,PCC,0.601226722132856,gigyf1
SIFT (0.024),PROVEAN (0.055),0.855,30740,PCC,0.639705741162833,gigyf1
SiPhy (-0.004),PROVEAN (0.055),0.792,30740,PCC,0.613715698097526,gigyf1
VARITY (0.058),PROVEAN (0.055),0.429,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),PolyPhen-2 (0.031),0.523,30740,PCC,0.572808408753648,gigyf1
DANN (0.023),PolyPhen-2 (0.031),0.642,30740,PCC,0.572808408753648,gigyf1
Eigen (0.016),PolyPhen-2 (0.031),0.642,30740,PCC,0.572808408753648,gigyf1
FATHMM (-0.019),PolyPhen-2 (0.031),0.502,30740,PCC,0.572808408753648,gigyf1
GenoCanyon (0.022),PolyPhen-2 (0.031),0.706,30740,PCC,0.587064079859116,gigyf1
LRT (0.012),PolyPhen-2 (0.031),0.744,30740,PCC,0.597433816980441,gigyf1
